,Response
2478,"In 2022, the top 3 suppliers for Lithuania's imports, based on trade flow code 1, are as follows:
Supplier 1: Poland, Total Trade Value: 5812368959.00 US$
Supplier 2: Germany, Total Trade Value: 5718978423.00 US$
Supplier 3: United States, Total Trade Value: 3872350060.00 US$"
2479,"In 2021, the top 3 suppliers for Algeria's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 6349679646.00 US$
Supplier 2: France, Total Trade Value: 4381420485.00 US$
Supplier 3: Russian Federation, Total Trade Value: 2989446310.00 US$"
2480,"In 2020, the top 3 suppliers for Burkina Faso's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 519943209.00 US$
Supplier 2: Cote d'Ivoire, Total Trade Value: 341550024.00 US$
Supplier 3: France, Total Trade Value: 306331107.00 US$"
2481,"In 2020, the top 3 suppliers for Nepal's imports, based on trade flow code 1, are as follows:
Supplier 1: India, Total Trade Value: 6257159418.00 US$
Supplier 2: China, Total Trade Value: 1339889970.00 US$
Supplier 3: Argentina, Total Trade Value: 216186861.00 US$"
2482,"In 2021, the top 3 suppliers for Mauritania's imports, based on trade flow code 1, are as follows:
Supplier 1: Spain, Total Trade Value: 577088815.00 US$
Supplier 2: United Arab Emirates, Total Trade Value: 539721266.00 US$
Supplier 3: France, Total Trade Value: 440034311.00 US$"
2483,"In 2020, the top 3 suppliers for Belize's imports, based on trade flow code 1, are as follows:
Supplier 1: United States, Total Trade Value: 318707786.00 US$
Supplier 2: China, Total Trade Value: 113097438.00 US$
Supplier 3: Mexico, Total Trade Value: 102375918.00 US$"
2484,"In 2022, the top 3 suppliers for Denmark's imports, based on trade flow code 1, are as follows:
Supplier 1: Germany, Total Trade Value: 23680944910.00 US$
Supplier 2: Sweden, Total Trade Value: 14223161521.00 US$
Supplier 3: Netherlands, Total Trade Value: 10044001434.00 US$"
2485,"In 2022, the top 3 suppliers for Burkina Faso's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 170725159.00 US$
Supplier 2: Cote d'Ivoire, Total Trade Value: 110713445.00 US$
Supplier 3: Russian Federation, Total Trade Value: 107163761.00 US$"
2486,"In 2021, the top 3 suppliers for New Caledonia's imports, based on trade flow code 1, are as follows:
Supplier 1: France, Total Trade Value: 883789103.00 US$
Supplier 2: Australia, Total Trade Value: 328803870.00 US$
Supplier 3: Singapore, Total Trade Value: 250663975.00 US$"
2487,"In 2021, the top 3 suppliers for Uganda's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 1022951430.00 US$
Supplier 2: Kenya, Total Trade Value: 831915777.00 US$
Supplier 3: India, Total Trade Value: 694633621.00 US$"
2488,"In 2021, the top 3 suppliers for Bosnia and Herzegovina's imports, based on trade flow code 1, are as follows:
Supplier 1: Italy, Total Trade Value: 1569636154.00 US$
Supplier 2: Germany, Total Trade Value: 1550326036.00 US$
Supplier 3: Serbia, Total Trade Value: 1480278434.00 US$"
2489,"In 2022, the top 3 suppliers for Poland's imports, based on trade flow code 1, are as follows:
Supplier 1: Germany, Total Trade Value: 62318002747.00 US$
Supplier 2: China, Total Trade Value: 39672147379.00 US$
Supplier 3: Russian Federation, Total Trade Value: 15184019292.00 US$"
2490,"In 2020, the top 3 suppliers for Malta's imports, based on trade flow code 1, are as follows:
Supplier 1: Italy, Total Trade Value: 1057251642.00 US$
Supplier 2: United Kingdom, Total Trade Value: 436753293.00 US$
Supplier 3: China, Total Trade Value: 414665556.00 US$"
2491,"In 2022, the top 3 suppliers for Anguilla's imports, based on trade flow code 1, are as follows:
Supplier 1: Chile, Total Trade Value: 124307777.00 US$
Supplier 2: United States, Total Trade Value: 66597238.00 US$
Supplier 3: Botswana, Total Trade Value: 14817231.00 US$"
2492,"In 2021, the top 3 suppliers for Germany's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 170640076865.00 US$
Supplier 2: Netherlands, Total Trade Value: 106763468396.00 US$
Supplier 3: United States, Total Trade Value: 86798993157.00 US$"
2493,"In 2021, the top 3 suppliers for India's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 87535133696.00 US$
Supplier 2: United Arab Emirates, Total Trade Value: 43070343522.00 US$
Supplier 3: United States, Total Trade Value: 41386814517.00 US$"
2494,"In 2021, the top 3 suppliers for South Sudan's imports, based on trade flow code 1, are as follows:
Supplier 1: United Arab Emirates, Total Trade Value: 337307622.00 US$
Supplier 2: Kenya, Total Trade Value: 155437949.00 US$
Supplier 3: China, Total Trade Value: 139816933.00 US$"
2495,"In 2022, the top 3 suppliers for Albania's imports, based on trade flow code 1, are as follows:
Supplier 1: EU-27, Total Trade Value: 3811830624.00 US$
Supplier 2: Italy, Total Trade Value: 1490882024.00 US$
Supplier 3: Turkey, Total Trade Value: 925900008.00 US$"
2496,"In 2020, the top 3 suppliers for Qatar's imports, based on trade flow code 1, are as follows:
Supplier 1: United States, Total Trade Value: 4059011282.00 US$
Supplier 2: China, Total Trade Value: 3850246106.00 US$
Supplier 3: United Kingdom, Total Trade Value: 1810093759.00 US$"
2497,"In 2021, the top 3 suppliers for Portugal's imports, based on trade flow code 1, are as follows:
Supplier 1: Spain, Total Trade Value: 32288589877.00 US$
Supplier 2: Germany, Total Trade Value: 12210773853.00 US$
Supplier 3: France, Total Trade Value: 6593859719.00 US$"
2498,"In 2020, the top 3 suppliers for Hungary's imports, based on trade flow code 1, are as follows:
Supplier 1: Germany, Total Trade Value: 27893045486.00 US$
Supplier 2: China, Total Trade Value: 9017060378.00 US$
Supplier 3: Poland, Total Trade Value: 6596203216.00 US$"
2499,"In 2022, the top 3 suppliers for Bolivia's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 1794882068.00 US$
Supplier 2: Brazil, Total Trade Value: 1471791978.00 US$
Supplier 3: Argentina, Total Trade Value: 1181036208.00 US$"
2500,"In 2020, the top 3 suppliers for Mongolia's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 1892786285.00 US$
Supplier 2: Russian Federation, Total Trade Value: 1399961411.00 US$
Supplier 3: Japan, Total Trade Value: 406712187.00 US$"
2501,"In 2022, the top 3 suppliers for Armenia's imports, based on trade flow code 1, are as follows:
Supplier 1: Russian Federation, Total Trade Value: 2335484544.00 US$
Supplier 2: China, Total Trade Value: 1187702238.00 US$
Supplier 3: Iran, Islamic Rep., Total Trade Value: 535611282.00 US$"
2502,"In 2020, the top 3 suppliers for Paraguay's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 3013586348.00 US$
Supplier 2: Brazil, Total Trade Value: 2387328580.00 US$
Supplier 3: Argentina, Total Trade Value: 949027296.00 US$"
2503,"In 2021, the top 3 suppliers for Ghana's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 8104178313.00 US$
Supplier 2: India, Total Trade Value: 1099172623.00 US$
Supplier 3: Netherlands, Total Trade Value: 1050412015.00 US$"
2504,"In 2020, the top 3 suppliers for Syrian Arab Republic's imports, based on trade flow code 1, are as follows:
Supplier 1: Turkey, Total Trade Value: 1595784000.00 US$
Supplier 2: China, Total Trade Value: 833516700.00 US$
Supplier 3: United Arab Emirates, Total Trade Value: 666784208.00 US$"
2505,"In 2021, the top 3 suppliers for United States's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 541531352242.00 US$
Supplier 2: Mexico, Total Trade Value: 388357522055.00 US$
Supplier 3: Canada, Total Trade Value: 363904687514.00 US$"
2506,"In 2020, the top 3 suppliers for Burundi's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 141696340.00 US$
Supplier 2: Saudi Arabia, Total Trade Value: 107576467.00 US$
Supplier 3: India, Total Trade Value: 86133153.00 US$"
2507,"In 2020, the top 3 suppliers for Netherlands's imports, based on trade flow code 1, are as follows:
Supplier 1: Germany, Total Trade Value: 85522483327.00 US$
Supplier 2: China, Total Trade Value: 51227904403.00 US$
Supplier 3: Belgium, Total Trade Value: 47351859760.00 US$"
2508,"In 2022, the top 3 suppliers for Netherlands's imports, based on trade flow code 1, are as follows:
Supplier 1: Germany, Total Trade Value: 89262913951.00 US$
Supplier 2: Belgium, Total Trade Value: 59319425898.00 US$
Supplier 3: China, Total Trade Value: 56424370342.00 US$"
2509,"In 2021, the top 3 suppliers for Peru's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 14611639150.00 US$
Supplier 2: United States, Total Trade Value: 9562257025.00 US$
Supplier 3: Brazil, Total Trade Value: 3430909707.00 US$"
2510,"In 2020, the top 3 suppliers for Congo, Dem. Rep.'s imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 1687802219.00 US$
Supplier 2: United States, Total Trade Value: 1418931403.00 US$
Supplier 3: South Africa, Total Trade Value: 611674464.00 US$"
2511,"In 2022, the top 3 suppliers for Vietnam's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 30795621342.00 US$
Supplier 2: Japan, Total Trade Value: 16999907643.00 US$
Supplier 3: Hong Kong SAR, China, Total Trade Value: 12380882251.00 US$"
2512,"In 2022, the top 3 suppliers for Rwanda's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 455443473.00 US$
Supplier 2: Tanzania, Total Trade Value: 292275291.00 US$
Supplier 3: Kenya, Total Trade Value: 252085253.00 US$"
2513,"In 2021, the top 3 suppliers for Philippines's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 28210340121.00 US$
Supplier 2: Japan, Total Trade Value: 11832462576.00 US$
Supplier 3: Korea, Rep., Total Trade Value: 9630014432.00 US$"
2514,"In 2021, the top 3 suppliers for Albania's imports, based on trade flow code 1, are as follows:
Supplier 1: Italy, Total Trade Value: 1913024183.00 US$
Supplier 2: Greece, Total Trade Value: 809630477.00 US$
Supplier 3: Turkey, Total Trade Value: 790148881.00 US$"
2515,"In 2022, the top 3 suppliers for Chile's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 24648977764.00 US$
Supplier 2: United States, Total Trade Value: 20373029913.00 US$
Supplier 3: Brazil, Total Trade Value: 9336862460.00 US$"
2516,"In 2020, the top 3 suppliers for India's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 58798822715.00 US$
Supplier 2: United States, Total Trade Value: 26615670690.00 US$
Supplier 3: United Arab Emirates, Total Trade Value: 23901105386.00 US$"
2517,"In 2021, the top 3 suppliers for Malta's imports, based on trade flow code 1, are as follows:
Supplier 1: Italy, Total Trade Value: 1576581419.00 US$
Supplier 2: Canada, Total Trade Value: 472587586.00 US$
Supplier 3: France, Total Trade Value: 471191375.00 US$"
2518,"In 2020, the top 3 suppliers for Cote d'Ivoire's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 1577346724.00 US$
Supplier 2: Nigeria, Total Trade Value: 1375035847.00 US$
Supplier 3: France, Total Trade Value: 1137187890.00 US$"
2519,"In 2021, the top 3 suppliers for Malawi's imports, based on trade flow code 1, are as follows:
Supplier 1: South Africa, Total Trade Value: 469209423.00 US$
Supplier 2: China, Total Trade Value: 280526816.00 US$
Supplier 3: India, Total Trade Value: 155739477.00 US$"
2520,"In 2022, the top 3 suppliers for Congo, Rep.'s imports, based on trade flow code 1, are as follows:
Supplier 1: EU-27, Total Trade Value: 760650771.00 US$
Supplier 2: China, Total Trade Value: 168054973.00 US$
Supplier 3: United States, Total Trade Value: 144355879.00 US$"
2521,"In 2022, the top 3 suppliers for Belgium's imports, based on trade flow code 1, are as follows:
Supplier 1: Netherlands, Total Trade Value: 80679094522.00 US$
Supplier 2: Germany, Total Trade Value: 50500861149.00 US$
Supplier 3: France, Total Trade Value: 39995937098.00 US$"
2522,"In 2022, the top 3 suppliers for Timor-Leste's imports, based on trade flow code 1, are as follows:
Supplier 1: Indonesia, Total Trade Value: 70708351.00 US$
Supplier 2: China, Total Trade Value: 57318579.00 US$
Supplier 3: Australia, Total Trade Value: 51669392.00 US$"
2523,"In 2022, the top 3 suppliers for Colombia's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 3369441705.00 US$
Supplier 2: United States, Total Trade Value: 2734892810.00 US$
Supplier 3: Brazil, Total Trade Value: 661078607.00 US$"
2524,"In 2021, the top 3 suppliers for Greece's imports, based on trade flow code 1, are as follows:
Supplier 1: Germany, Total Trade Value: 8116334780.00 US$
Supplier 2: Italy, Total Trade Value: 6087443400.00 US$
Supplier 3: China, Total Trade Value: 5924660111.00 US$"
2525,"In 2020, the top 3 suppliers for Trinidad and Tobago's imports, based on trade flow code 1, are as follows:
Supplier 1: United States, Total Trade Value: 1828882376.00 US$
Supplier 2: China, Total Trade Value: 490644165.00 US$
Supplier 3: Brazil, Total Trade Value: 253870148.00 US$"
2526,"In 2020, the top 3 suppliers for Luxembourg's imports, based on trade flow code 1, are as follows:
Supplier 1: Belgium, Total Trade Value: 5068062151.00 US$
Supplier 2: Germany, Total Trade Value: 5025117654.00 US$
Supplier 3: France, Total Trade Value: 2242129485.00 US$"
2527,"In 2021, the top 3 suppliers for Uganda's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 1022951430.00 US$
Supplier 2: Kenya, Total Trade Value: 831915777.00 US$
Supplier 3: India, Total Trade Value: 694633621.00 US$"
2528,"In 2020, the top 3 suppliers for Br. Indian Ocean Terr.'s imports, based on trade flow code 1, are as follows:
Supplier 1: Singapore, Total Trade Value: 24385930.00 US$
Supplier 2: Panama, Total Trade Value: 11840923.00 US$
Supplier 3: United States, Total Trade Value: 7299945.00 US$"
2529,"In 2021, the top 3 suppliers for Spain's imports, based on trade flow code 1, are as follows:
Supplier 1: Germany, Total Trade Value: 45267769575.00 US$
Supplier 2: China, Total Trade Value: 41200346037.00 US$
Supplier 3: France, Total Trade Value: 40390835036.00 US$"
2530,"In 2021, the top 3 suppliers for Not updated's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 82705889883.00 US$
Supplier 2: Japan, Total Trade Value: 56274238169.00 US$
Supplier 3: United States, Total Trade Value: 39786658741.00 US$"
2531,"In 2020, the top 3 suppliers for South Africa's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 14309274470.00 US$
Supplier 2: Germany, Total Trade Value: 6293690348.00 US$
Supplier 3: United States, Total Trade Value: 4436282279.00 US$"
2532,"In 2022, the top 3 suppliers for Senegal's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 461123739.00 US$
Supplier 2: France, Total Trade Value: 351351522.00 US$
Supplier 3: Russian Federation, Total Trade Value: 279016780.00 US$"
2533,"In 2022, the top 3 suppliers for Benin's imports, based on trade flow code 1, are as follows:
Supplier 1: India, Total Trade Value: 699370590.00 US$
Supplier 2: EU-27, Total Trade Value: 643204539.00 US$
Supplier 3: China, Total Trade Value: 326235161.00 US$"
2534,"In 2021, the top 3 suppliers for American Samoa's imports, based on trade flow code 1, are as follows:
Supplier 1: New Zealand, Total Trade Value: 42864332.00 US$
Supplier 2: Singapore, Total Trade Value: 26709163.00 US$
Supplier 3: Not updated, Total Trade Value: 19633474.00 US$"
2535,"In 2020, the top 3 suppliers for Togo's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 441557953.00 US$
Supplier 2: France, Total Trade Value: 185834297.00 US$
Supplier 3: India, Total Trade Value: 162949036.00 US$"
2536,"In 2021, the top 3 suppliers for Thailand's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 66426546017.00 US$
Supplier 2: Japan, Total Trade Value: 35572360335.00 US$
Supplier 3: United States, Total Trade Value: 14575599460.00 US$"
2537,"In 2022, the top 3 suppliers for Ukraine's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 5746579852.00 US$
Supplier 2: Poland, Total Trade Value: 3694543026.00 US$
Supplier 3: Germany, Total Trade Value: 3448107506.00 US$"
2538,"In 2021, the top 3 suppliers for Mongolia's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 2490420953.00 US$
Supplier 2: Russian Federation, Total Trade Value: 1955110956.00 US$
Supplier 3: Japan, Total Trade Value: 453160587.00 US$"
2539,"In 2020, the top 3 suppliers for Hong Kong SAR, China's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 251123043095.00 US$
Supplier 2: Not updated, Total Trade Value: 54050449304.00 US$
Supplier 3: Singapore, Total Trade Value: 41235809921.00 US$"
2540,"In 2020, the top 3 suppliers for Uzbekistan's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 4444360568.00 US$
Supplier 2: Russian Federation, Total Trade Value: 4085813472.00 US$
Supplier 3: Kazakhstan, Total Trade Value: 2108337662.00 US$"
2541,"In 2022, the top 3 suppliers for Bolivia's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 1794882068.00 US$
Supplier 2: Brazil, Total Trade Value: 1471791978.00 US$
Supplier 3: Argentina, Total Trade Value: 1181036208.00 US$"
2542,"In 2020, the top 3 suppliers for Malta's imports, based on trade flow code 1, are as follows:
Supplier 1: Italy, Total Trade Value: 1057251642.00 US$
Supplier 2: United Kingdom, Total Trade Value: 436753293.00 US$
Supplier 3: China, Total Trade Value: 414665556.00 US$"
2543,"In 2021, the top 3 suppliers for United States Minor Outlying Islands's imports, based on trade flow code 1, are as follows:
Supplier 1: Canada, Total Trade Value: 44671791.00 US$
Supplier 2: Oman, Total Trade Value: 6900465.00 US$
Supplier 3: Brazil, Total Trade Value: 2254403.00 US$"
2544,"In 2021, the top 3 suppliers for Gabon's imports, based on trade flow code 1, are as follows:
Supplier 1: France, Total Trade Value: 475572977.00 US$
Supplier 2: China, Total Trade Value: 436240586.00 US$
Supplier 3: United Arab Emirates, Total Trade Value: 115826555.00 US$"
2545,"In 2021, the top 3 suppliers for Micronesia, Fed. Sts.'s imports, based on trade flow code 1, are as follows:
Supplier 1: United States, Total Trade Value: 49280076.00 US$
Supplier 2: China, Total Trade Value: 20122670.00 US$
Supplier 3: Japan, Total Trade Value: 15056885.00 US$"
2546,"In 2021, the top 3 suppliers for Sierra Leone's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 489118986.00 US$
Supplier 2: India, Total Trade Value: 191445439.00 US$
Supplier 3: Turkey, Total Trade Value: 134365782.00 US$"
2547,"In 2022, the top 3 suppliers for Denmark's imports, based on trade flow code 1, are as follows:
Supplier 1: Germany, Total Trade Value: 23680944910.00 US$
Supplier 2: Sweden, Total Trade Value: 14223161521.00 US$
Supplier 3: Netherlands, Total Trade Value: 10044001434.00 US$"
2548,"In 2021, the top 3 suppliers for Malta's imports, based on trade flow code 1, are as follows:
Supplier 1: Italy, Total Trade Value: 1576581419.00 US$
Supplier 2: Canada, Total Trade Value: 472587586.00 US$
Supplier 3: France, Total Trade Value: 471191375.00 US$"
2549,"In 2022, the top 3 suppliers for Montserrat's imports, based on trade flow code 1, are as follows:
Supplier 1: United States, Total Trade Value: 9338609.00 US$
Supplier 2: EU-27, Total Trade Value: 1409917.00 US$
Supplier 3: United Kingdom, Total Trade Value: 1395108.00 US$"
2550,"In 2022, the top 3 suppliers for Burundi's imports, based on trade flow code 1, are as follows:
Supplier 1: EU-27, Total Trade Value: 77092430.00 US$
Supplier 2: India, Total Trade Value: 33035889.00 US$
Supplier 3: China, Total Trade Value: 27714786.00 US$"
2551,"In 2021, the top 3 suppliers for Philippines's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 28210340121.00 US$
Supplier 2: Japan, Total Trade Value: 11832462576.00 US$
Supplier 3: Korea, Rep., Total Trade Value: 9630014432.00 US$"
2552,"In 2021, the top 3 suppliers for Serbia's imports, based on trade flow code 1, are as follows:
Supplier 1: Germany, Total Trade Value: 4457725581.00 US$
Supplier 2: China, Total Trade Value: 4158723921.00 US$
Supplier 3: Italy, Total Trade Value: 2726148452.00 US$"
2553,"In 2022, the top 3 suppliers for Belgium's imports, based on trade flow code 1, are as follows:
Supplier 1: Netherlands, Total Trade Value: 80679094522.00 US$
Supplier 2: Germany, Total Trade Value: 50500861149.00 US$
Supplier 3: France, Total Trade Value: 39995937098.00 US$"
2554,"In 2022, the top 3 suppliers for El Salvador's imports, based on trade flow code 1, are as follows:
Supplier 1: United States, Total Trade Value: 5074419530.00 US$
Supplier 2: China, Total Trade Value: 2864073754.00 US$
Supplier 3: Guatemala, Total Trade Value: 1841014441.00 US$"
2555,"In 2020, the top 3 suppliers for Belarus's imports, based on trade flow code 1, are as follows:
Supplier 1: Russian Federation, Total Trade Value: 16253366700.00 US$
Supplier 2: China, Total Trade Value: 3621118200.00 US$
Supplier 3: Germany, Total Trade Value: 1680083600.00 US$"
2556,"In 2022, the top 3 suppliers for Slovak Republic's imports, based on trade flow code 1, are as follows:
Supplier 1: Germany, Total Trade Value: 13415038408.00 US$
Supplier 2: Not updated, Total Trade Value: 12936063662.00 US$
Supplier 3: Czech Republic, Total Trade Value: 8487101289.00 US$"
2557,"In 2022, the top 3 suppliers for Finland's imports, based on trade flow code 1, are as follows:
Supplier 1: Germany, Total Trade Value: 10008798474.00 US$
Supplier 2: Sweden, Total Trade Value: 9918205588.00 US$
Supplier 3: China, Total Trade Value: 7471263206.00 US$"
2558,"In 2021, the top 3 suppliers for United Kingdom's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 91162189772.00 US$
Supplier 2: Germany, Total Trade Value: 75512965134.00 US$
Supplier 3: United States, Total Trade Value: 59691070164.00 US$"
2559,"In 2021, the top 3 suppliers for Brunei Darussalam's imports, based on trade flow code 1, are as follows:
Supplier 1: Malaysia, Total Trade Value: 1913820339.00 US$
Supplier 2: Russian Federation, Total Trade Value: 1309232368.00 US$
Supplier 3: Saudi Arabia, Total Trade Value: 933270416.00 US$"
2560,"In 2020, the top 3 suppliers for Albania's imports, based on trade flow code 1, are as follows:
Supplier 1: Italy, Total Trade Value: 1366164747.00 US$
Supplier 2: Turkey, Total Trade Value: 521410284.00 US$
Supplier 3: China, Total Trade Value: 485875142.00 US$"
2561,"In 2020, the top 3 suppliers for Japan's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 163850553161.00 US$
Supplier 2: United States, Total Trade Value: 71767262809.00 US$
Supplier 3: Australia, Total Trade Value: 35790723158.00 US$"
2562,"In 2022, the top 3 suppliers for New Zealand's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 11590950654.00 US$
Supplier 2: Australia, Total Trade Value: 5515499715.00 US$
Supplier 3: United States, Total Trade Value: 4274629517.00 US$"
2563,"In 2021, the top 3 suppliers for Japan's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 185664474588.00 US$
Supplier 2: United States, Total Trade Value: 82966486649.00 US$
Supplier 3: Australia, Total Trade Value: 52241209106.00 US$"
2564,"In 2020, the top 3 suppliers for American Samoa's imports, based on trade flow code 1, are as follows:
Supplier 1: New Zealand, Total Trade Value: 28660083.00 US$
Supplier 2: Fiji, Total Trade Value: 21851116.00 US$
Supplier 3: Not updated, Total Trade Value: 19514170.00 US$"
2565,"In 2020, the top 3 suppliers for Iraq's imports, based on trade flow code 1, are as follows:
Supplier 1: United Arab Emirates, Total Trade Value: 13111166248.00 US$
Supplier 2: China, Total Trade Value: 10922539877.00 US$
Supplier 3: Turkey, Total Trade Value: 9142515277.00 US$"
2566,"In 2020, the top 3 suppliers for Libya's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 1880409436.00 US$
Supplier 2: Turkey, Total Trade Value: 1653078270.00 US$
Supplier 3: United Arab Emirates, Total Trade Value: 1003365381.00 US$"
2567,"In 2020, the top 3 suppliers for Guinea-Bissau's imports, based on trade flow code 1, are as follows:
Supplier 1: Portugal, Total Trade Value: 83901970.00 US$
Supplier 2: Senegal, Total Trade Value: 57125378.00 US$
Supplier 3: China, Total Trade Value: 51430636.00 US$"
2568,"In 2022, the top 3 suppliers for Australia's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 77065282410.00 US$
Supplier 2: United States, Total Trade Value: 28558691820.00 US$
Supplier 3: Korea, Rep., Total Trade Value: 17628307774.00 US$"
2569,"In 2020, the top 3 suppliers for Bulgaria's imports, based on trade flow code 1, are as follows:
Supplier 1: Germany, Total Trade Value: 4229355549.00 US$
Supplier 2: Romania, Total Trade Value: 2562007927.00 US$
Supplier 3: Turkey, Total Trade Value: 2484663993.00 US$"
2570,"In 2020, the top 3 suppliers for Guatemala's imports, based on trade flow code 1, are as follows:
Supplier 1: United States, Total Trade Value: 6294934577.00 US$
Supplier 2: China, Total Trade Value: 2251500423.00 US$
Supplier 3: Mexico, Total Trade Value: 2123864638.00 US$"
2571,"In 2020, the top 3 suppliers for Belarus's imports, based on trade flow code 1, are as follows:
Supplier 1: Russian Federation, Total Trade Value: 16253366700.00 US$
Supplier 2: China, Total Trade Value: 3621118200.00 US$
Supplier 3: Germany, Total Trade Value: 1680083600.00 US$"
2572,"In 2022, the top 3 suppliers for EU-27's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 545687508606.00 US$
Supplier 2: United States, Total Trade Value: 301190112986.00 US$
Supplier 3: Russian Federation, Total Trade Value: 171405308213.00 US$"
2573,"In 2020, the top 3 suppliers for Korea, Dem. People's Rep.'s imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 490967988.00 US$
Supplier 2: Russian Federation, Total Trade Value: 41953701.00 US$
Supplier 3: Congo, Dem. Rep., Total Trade Value: 7078988.00 US$"
2574,"In 2022, the top 3 suppliers for Bulgaria's imports, based on trade flow code 1, are as follows:
Supplier 1: Russian Federation, Total Trade Value: 4358843000.00 US$
Supplier 2: Germany, Total Trade Value: 4111224772.00 US$
Supplier 3: Turkey, Total Trade Value: 3154399166.00 US$"
2575,"In 2021, the top 3 suppliers for Nigeria's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 12879075279.00 US$
Supplier 2: Netherlands, Total Trade Value: 5350997607.00 US$
Supplier 3: India, Total Trade Value: 4598982977.00 US$"
2576,"In 2022, the top 3 suppliers for Pitcairn's imports, based on trade flow code 1, are as follows:
Supplier 1: New Zealand, Total Trade Value: 1254703.00 US$
Supplier 2: Brazil, Total Trade Value: 974130.00 US$
Supplier 3: EU-27, Total Trade Value: 879520.00 US$"
2577,"In 2021, the top 3 suppliers for Denmark's imports, based on trade flow code 1, are as follows:
Supplier 1: Germany, Total Trade Value: 25133192107.00 US$
Supplier 2: Sweden, Total Trade Value: 15384757323.00 US$
Supplier 3: Netherlands, Total Trade Value: 10029828625.00 US$"
2578,"In 2021, the top 3 suppliers for United Kingdom's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 91162189772.00 US$
Supplier 2: Germany, Total Trade Value: 75512965134.00 US$
Supplier 3: United States, Total Trade Value: 59691070164.00 US$"
2579,"In 2020, the top 3 suppliers for Benin's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 305358288.00 US$
Supplier 2: India, Total Trade Value: 304260287.00 US$
Supplier 3: France, Total Trade Value: 274608383.00 US$"
2580,"In 2020, the top 3 suppliers for Hong Kong SAR, China's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 251123043095.00 US$
Supplier 2: Not updated, Total Trade Value: 54050449304.00 US$
Supplier 3: Singapore, Total Trade Value: 41235809921.00 US$"
2581,"In 2021, the top 3 suppliers for Sudan's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 1816389665.00 US$
Supplier 2: United Arab Emirates, Total Trade Value: 1366554207.00 US$
Supplier 3: Saudi Arabia, Total Trade Value: 1172851876.00 US$"
